Title,Poster Image,Run Time,Plot,Director,Writer,IMDB Link,Release Date,Rating,MPAA,User Comments,Tag Line,Keywords,Genres,Cast
The Children's Hour,http://ia.media-imdb.com/images/M/MV5BMjEzMjc3MDA1Ml5BMl5BanBnXkFtZTcwOTI3MDYyMQ@@._V1._SX99_SY140_.jpg,107 min,A troublemaking student at a girl's school accuses two teachers of being lesbians.,William Wyler,Lillian Hellman,http://www.imdb.com/title/tt0054743/,12/19/1961,Approved,"",A very intriguing film.,"One of Broadway's greatest hits...becomes powerful, adult screen drama!",School|Teacher|Lesbian|Girls'|School|Homosexual,Drama,William Mims|James Garner|Sally Brophy|Veronica Cartwright|Audrey Hepburn|Hope Summers|Mimi Gibson|Miriam Hopkins|Fay Bainter|Debbie Moldow|Karen Balkin|Shirley MacLaine|Diane Mountford
Insomnia,http://ia.media-imdb.com/images/M/MV5BMTIyMDUxOTIxNl5BMl5BanBnXkFtZTcwODIwNTgxMQ@@._V1._SX99_SY140_.jpg,96 min,Two criminal investigators arrive in a town in the north of Norway to help the local police solve the murder of a young girl...,Erik Skjoldbj&#xE6;rg,"Nikolaj Frobenius, Erik Skjoldbj&#xE6;rg",http://www.imdb.com/title/tt0119375/,05/29/1998,Unrated,"",Why remake a good thing?,"Den som synder, sover ikke.",Police|Murder|Swede|Norway|Murderer,Crime|Drama|Mystery|Thriller,Sverre Anker Ousdal|Thor Michael Aamodt|Kristian Figenschow|Gisken Armand|Marianne O. Ulrichsen|Frode Rasmussen|Stellan Skarsg&#xE5;rd|Maria Bonnevie|Maria Mathiesen|Bj&#xF8;rn Floberg|Bj&#xF8;rn Moan
Instinct,http://ia.media-imdb.com/images/M/MV5BMTM4MDc3MjExNl5BMl5BanBnXkFtZTcwMjg3OTMyMQ@@._V1._SX97_SY140_.jpg,126 min,"When a noted anthropologist who left society to live in the jungle is imprisoned for murder, it's up to young psychiatrist to get through to him.",Jon Turteltaub,Gerald Di Pego,http://www.imdb.com/title/tt0128278/,06/04/1999,R,Rated R for some intense violent behavior.,Surprisingly good,One man's mind is another man's mystery.,Psychiatrist|Murder|Africa|Gorilla|Poacher,Drama|Thriller,Paul Bates|Rex Linn|Donald Sutherland|Tracey Ellis|Jim R. Coleman|Cuba Gooding Jr.|Kurt Smildsin|Rod McLachlan|John Aylward|George Dzundza|Thomas Q. Morris|John Ashton|Maura Tierney|Anthony Hopkins|Doug Spinuzza
Invincible,http://ia.media-imdb.com/images/M/MV5BMjE3MDM3MzY4OV5BMl5BanBnXkFtZTcwNzUwMzA0MQ@@._V1._SX99_SY140_.jpg,105 min,"Based on the story of Vince Papale, a 30-year-old bartender from South Philadelphia who overcame long odds to play for the NFL's Philadelphia Eagles in 1976.",Ericson Core,Brad Gann,http://www.imdb.com/title/tt0445990/,08/25/2006,PG,Rated PG for sports action and some mild language.,Quality film making from Disney,Dreams are not lived on the sidelines,Philadelphia|Eagles|Nfl|Bartender|American|Football|Sports|Team,Biography|Drama|Sport,Stink Fisher|Cosmo DeMatteo|Michael Rispoli|Kirk Acevedo|Nicoye Banks|Elizabeth Banks|Dov Davidoff|Kevin Conway|Michael Nouri|Mark Wahlberg|Michael Mulheren|Michael Kelly|Greg Kinnear|Turron Kofi Alleyne|Sal Darigo
The Invisible,http://ia.media-imdb.com/images/M/MV5BNjQ3MjAwNTc1NV5BMl5BanBnXkFtZTcwMzQ3MjczMQ@@._V1._SX94_SY140_.jpg,102 min,After an attack leaves him in limbo -- invisible to the living and also near death -- a teenager discovers the only person who might be able help him is his attacker.,David S. Goyer,"Mick Davis, Christine Roum",http://www.imdb.com/title/tt0435670/,04/27/2007,PG-13,"Rated PG-13 for violence, criminality, sensuality and language - all involving teens.",Really Great,"Life, death and something in between.",Death|Invisible|High|School|Theft|Limbo,Crime|Drama|Fantasy|Mystery|Romance|Thriller,Tania Saulnier|Alex Ferris|P. Lynn Johnson|Ryan Kennedy|Callum Keith Rennie|Margarita Levieva|Andrew Francis|Justin Chatwin|Serge Houde|Marcia Gay Harden|Mark Houghton|Desiree Zurowski|Michelle Harrison|Chris Marquette|Alex O'Loughlin
Iron Man,http://ia.media-imdb.com/images/M/MV5BMTM0MzgwNTAzNl5BMl5BanBnXkFtZTcwODkyNjg5MQ@@._V1._SX99_SY140_.jpg,126 min,"When wealthy industrialist Tony Stark is forced to build an armored suit after a life-threatening incident, he ultimately decides to use its technology to fight against evil.",Jon Favreau,"Mark Fergus, Hawk Ostby",http://www.imdb.com/title/tt0371746/,05/02/2008,PG-13,"Rated PG-13 for some intense sequences of sci-fi action and violence, and brief suggestive content.",Film That Lives Up To Its Hype And The Expectations Of Comic Readers,"This Summer: Heroes Aren't Born, They're Built.",Weapon|Missile|Armor|Afghanistan|Playboy,Action|Adventure|Crime|Sci-Fi|Thriller,Sayed Badreya|Faran Tahir|Peter Billingsley|Clark Gregg|Jon Favreau|Robert Downey Jr.|Shaun Toub|Leslie Bibb|Tim Guinee|Jeff Bridges|Paul Bettany|Will Lyman|Terrence Howard|Bill Smitrovich|Gwyneth Paltrow
The Italian Job,http://ia.media-imdb.com/images/M/MV5BMzU3MDEwMjQ3N15BMl5BanBnXkFtZTcwNjU1MTQyMQ@@._V1._SX96_SY140_.jpg,111 min,"Based on a 1969 Michael Caine film of the same name, thieves plan to pull of the heist of their lives by creating Los Angeles largest traffic jam ever.",F. Gary Gray,"Troy Kennedy-Martin, Donna Powers",http://www.imdb.com/title/tt0317740/,05/30/2003,PG-13,Rated PG-13 for violence and some language.,non-stop action film,Steal The Day 5.30.03,Gold|Heist|Traffic|Jam|Venice|Italy|Italy,Action|Crime|Thriller,Jimmy Shubert|Cristiano Bonora|Fausto Callegarini|Edward Norton|Stefano Petronelli|Charlize Theron|Mary Portser|Donald Sutherland|Tiberio Greco|Fabio Scarpa|Jason Statham|Mark Wahlberg|Tammi Cubilette|Mos Def|Seth Green
The Living Daylights,http://ia.media-imdb.com/images/M/MV5BNTA2NjQ2NjgyMF5BMl5BanBnXkFtZTYwMDI5Njg4._V1._SX99_SY140_.jpg,130 min,James Bond is living on the edge to stop an evil arms dealer from starting another world war. Bond crosses all seven continents in order to stop the evil Whitaker and General Koskov.,John Glen,"Richard Maibaum, Michael G. Wilson",http://www.imdb.com/title/tt0093428/,07/31/1987,PG,"","Not only a great Bond movie, but a great spy thriller.",James Bond 007 at his most dangerous in The Living Daylights,James|Bond|Defection|Afghanistan|Cello|Arms|Dealer,Action|Adventure|Music|Thriller,Virginia Hey|Thomas Wheatley|Geoffrey Keen|Robert Brown|Desmond Llewelyn|Timothy Dalton|Walter Gotell|Caroline Bliss|Andreas Wisniewski|Joe Don Baker|Art Malik|Jeroen Krabb&#xE9;|John Terry|John Rhys-Davies|Maryam d'Abo
Casino Royale,http://ia.media-imdb.com/images/M/MV5BMTMzNTQ1Njk4Nl5BMl5BanBnXkFtZTcwMDI3Mzc4MQ@@._V1._SX100_SY118_.jpg,144 min,"In his first mission, James Bond must stop Le Chiffre, a banker to the world's terrorist organizations, from winning a high-stakes poker tournament at Casino Royale in Montenegro.",Martin Campbell,"Neal Purvis, Robert Wade",http://www.imdb.com/title/tt0381061/,11/17/2006,PG-13,"Rated PG-13 for intense sequences of violent action, a scene of torture, sexual content and nudity.",Daniel Craig you are here to stay!,"Everyone has a past. Every legend has a beginning. On November 17th, discover how James...became Bond.",Poker|Terrorist|Montenegro|James|Bond|MI6,Action|Adventure|Thriller,Claudio Santamaria|Jeffrey Wright|Judi Dench|Tobias Menzies|Sebastien Foucan|Mads Mikkelsen|Daniel Craig|Jesper Christensen|Malcolm Sinclair|Ivana Milicevic|Isaach De Bankol&#xE9;|Simon Abkarian|Caterina Murino|Giancarlo Giannini|Eva Green
James Bond 007: From Russia with Love,http://ia.media-imdb.com/images/M/MV5BMTA0MDExNjQ5MTBeQTJeQWpwZ15BbWU3MDkwNzU2MzE@._V1._SX99_SY140_.jpg,"","Experience the living world in which James Bond (voiced by Sean Connery) works ... and plays. Featuring environments straight out of the classic 1963 film -- as well as several new, action-intensive sequences -- ""From Russia with Love"" lets you create and manipulate your Bond character as you work through 14 Cold War era missions set in exotice locales. |","","Bruce Feirstein, Ian Fleming",http://www.imdb.com/find?s=all&q=james+bond+-+from+russia+with+love,11/01/2005,T,"",The Most Amazing Experience... For a Bond fan,Enter the World of Classic James Bond.,James|Bond|Gatling|Gun|Violence|Spy|Gun,Action|Adventure|Thriller,Karly Rothenberg|Bernard Lee|Gert Fr&#xF6;be|Patrick Borg|Daniela Bianchi|David Anthony Pizzuto|Maria Menounos|Lotte Lenya|Kari Wahlgren|Brian McCole|Grant George|Kimani Ray Smith|Peter Renaday|Desmond Llewelyn|JB Blanc|Natasha Bedingfield|Phil Proctor|Pedro Armend&#xE1;riz|Joseph Wiseman|Robert Shaw|Sean Connery
Casino Royale,http://ia.media-imdb.com/images/M/MV5BMTMzNTQ1Njk4Nl5BMl5BanBnXkFtZTcwMDI3Mzc4MQ@@._V1._SX100_SY118_.jpg,144 min,"In his first mission, James Bond must stop Le Chiffre, a banker to the world's terrorist organizations, from winning a high-stakes poker tournament at Casino Royale in Montenegro.",Martin Campbell,"Neal Purvis, Robert Wade",http://www.imdb.com/title/tt0381061/,11/17/2006,PG-13,"Rated PG-13 for intense sequences of violent action, a scene of torture, sexual content and nudity.",Daniel Craig you are here to stay!,"Everyone has a past. Every legend has a beginning. On November 17th, discover how James...became Bond.",Poker|Terrorist|Montenegro|James|Bond|MI6,Action|Adventure|Thriller,Claudio Santamaria|Jeffrey Wright|Judi Dench|Tobias Menzies|Sebastien Foucan|Mads Mikkelsen|Daniel Craig|Jesper Christensen|Malcolm Sinclair|Ivana Milicevic|Isaach De Bankol&#xE9;|Simon Abkarian|Caterina Murino|Giancarlo Giannini|Eva Green
Seven Worlds Collide: Neil Finn & Friends Live at the St. James,http://ia.media-imdb.com/images/M/MV5BMjA1MzYwMzA2M15BMl5BanBnXkFtZTcwMzU5ODQyMQ@@._V1._SX99_SY140_.jpg,USA:129 min,Neil Finn brings together some of his musician friends from around the globe for an awesome series of concerts at the St...,Paul Casserly,"",http://www.imdb.com/title/tt0313161/,01/01/-4712,,"",Like coming home again,"",New|Zealand|Concert|Film|Pop|Music|Rock|Music|Character|Name|In|Title,Music,Tim Finn||Neil Finn|Phil Selway|Eddie Vedder|Matt Eccles|Liam Finn|Ed O'Brien|Johnny Marr
On Her Majesty's Secret Service,http://ia.media-imdb.com/images/M/MV5BMjAwMzAwOTA2OF5BMl5BanBnXkFtZTcwMjU3NzQyMQ@@._V1._SX94_SY140_.jpg,142 min,James Bond woos a mob boss's daughter and goes undercover to uncover the true reason for Blofeld's allergy research in the Swiss Alps that involves beautiful women from around the world.,Peter R. Hunt,"Simon Raven, Richard Maibaum",http://www.imdb.com/title/tt0064757/,12/18/1969,PG,"",Not a Bad Deal at All.,James Bond 007 is back!,Switzerland|British|Virus|Mountain|Beach,Action|Adventure|Romance|Thriller,Bernard Lee|Angela Scoular|Ilse Steppat|Gabriele Ferzetti|Yuri Borionko|George Baker|Lois Maxwell|Virginia North|Catherine Schell|Diana Rigg|Desmond Llewelyn|Telly Savalas|Bernard Horsfall|George Lazenby|Geoffrey Cheshire
Quantum of Solace,,"","","","",http://www.imdb.com/find?s=all&q=james+bond+-+quantum+of+solace,10/31/2008,T,"",Bond is gone.,Bond is back.,Intelligence|Agency|Beautiful|Woman|Spying|British|Intelligence|Secret|Agent,Action,Brian T. Delaney||Olga Kurylenko|Carlos Ferro|Judi Dench|Dave Judge|Ulrika Belogriva|Chris Parson|Alex Fernandez|Nick Jameson|Mads Mikkelsen|Mathieu Amalric|Daniel Craig|Michael Benyaer|Joseph Millson|Eva Green
Thunderball,http://ia.media-imdb.com/images/M/MV5BMTIzMjY3NTY2OF5BMl5BanBnXkFtZTcwMjE5MDE0MQ@@._V1._SX100_SY137_.jpg,130 min,James Bond heads to The Bahamas to recover two nuclear warheads stolen by SPECTRE agent Emilio Largo in an international extortion scheme.,Terence Young,"Kevin McClory, Jack Whittingham",http://www.imdb.com/title/tt0059800/,12/29/1965,PG,"","""I hope we didn't scare the fishes.""",Look Out! Here Comes The Biggest Bond Of All! (British quad poster),James|Bond|British|Extortion|Bahamas|Island,Action|Adventure|Thriller,Bernard Lee|Luciana Paluzzi|Lois Maxwell|Martine Beswick|Adolfo Celi|Roland Culver|Guy Doleman|Claudine Auger|Desmond Llewelyn|Molly Peters|Paul Stassino|Rose Alba|Rik Van Nutter|Sean Connery|Earl Cameron
Tomorrow Never Dies,http://ia.media-imdb.com/images/M/MV5BMTQxOTY4ODg3Ml5BMl5BanBnXkFtZTcwNTY1MzQyMQ@@._V1._SX99_SY140_.jpg,119 min,James Bond heads to stop a media mogul's plan to induce war between China and the UK in order to obtain exclusive global media coverage.,Roger Spottiswoode,Bruce Feirstein,http://www.imdb.com/title/tt0120347/,12/19/1997,PG-13,"Rated PG-13 for intense sequences of action violence, sexuality and innuendo.",A good example of what the Bond films have always been- superior escapist entertainment,Meet New James Bond [Japanese Theatrical],Media|James|Bond|British|China|Missile,Action|Adventure|Thriller,Teri Hatcher|Julian Fellowes|Colin Salmon|Geoffrey Palmer|Desmond Llewelyn|Judi Dench|G&#xF6;tz Otto|Samantha Bond|Michelle Yeoh|Pierce Brosnan|Vincent Schiavelli|Jonathan Pryce|Terence Rigby|Joe Don Baker|Ricky Jay
The Jane Austen Book Club,http://ia.media-imdb.com/images/M/MV5BMjUwNjkyOTYzMl5BMl5BanBnXkFtZTcwMzczMzc1MQ@@._V1._SX100_SY137_.jpg,106 min,"Six Californians start a club to discuss the works of Jane Austen, only to find their relationships -- both old and new -- begin to resemble 21st century versions of her novels.",Robin Swicord,"Robin Swicord, Karen Joy Fowler",http://www.imdb.com/title/tt0866437/,10/05/2007,PG-13,"Rated PG-13 for mature thematic material, sexual content, brief strong language and some drug use.",Enjoyable to watch with a great ensemble cast,You don't have to know the books to be in the club.,Austen|Skydiving|Affair|Book|Club|Convention,Drama|Romance,Hugh Dancy|Maggie Grace|Kevin Zegers|Emily Blunt|Kathy Baker|Messy Stench|Amy Brenneman|Chris Burket|Ed Brigadier|Maria Bello|Marc Blucas|Parisa Fitz-Henley|Ned Hosford|Catherine Schreiber|Jimmy Smits
Jarhead,http://ia.media-imdb.com/images/M/MV5BMTQ2MDcyNjcwMl5BMl5BanBnXkFtZTcwMzk0MTYzMQ@@._V1._SX98_SY140_.jpg,125 min,Based on former Marine Anthony Swofford's best-selling 2003 book about his pre-Desert Storm experiences in Saudi Arabia and about his experiences fighting in Kuwait.,Sam Mendes,"William Broyles Jr., Anthony Swofford",http://www.imdb.com/title/tt0418763/,11/04/2005,R,"Rated R for pervasive language, some violent images and strong sexual content.",A true and realistic story,Every man fights his own war.,Marine|Sniper|Rifle|Platoon|Latrine,Biography|Drama|War,Riad Galayini|Kevin Foster|Lucas Black|Lo Ming|Craig Coyne|Dendrie Taylor|Jamie Foxx|Brian Geraghty|Peter Sarsgaard|Jake Gyllenhaal|Damion Poitier|Scott MacDonald|James Morrison|Rini Bell|Katherine Randolph
Jeff Dunham: Spark of Insanity,,80 min,"",Michael Simon,Jeff Dunham,http://www.imdb.com/find?s=all&q=jeff+dunham+-+spark+of+insanity,09/17/2007,Not Rated,"",Stand-up comedian and superb ventriloquist and his box full of friends.,"",Reference|To|Home|Depot|Reference|To|Lindsay|Lohan,Comedy,|Paige Dunham|Jeff Dunham
Jet Pilot,http://ia.media-imdb.com/images/M/MV5BMTI0OTAwODA2MF5BMl5BanBnXkFtZTcwMTUzMTYyMQ@@._V1._SX94_SY140_.jpg,112 min,Air Force Colonel Shannon is assigned to escort defecting Soviet pilot Anna. He falls in love with her...,Josef von Sternberg,Jules Furthman,http://www.imdb.com/title/tt0050562/,10/01/1957,G,"",so dumb it's great!,"Greatest Air Spectacle of the Jet Age! Earth-shaking, sky-shattering ... SO BIG it took years to make!",Pilot|Beautiful|Woman,Drama,Roland Winters|Paul Fix|Jay C. Flippen|Hans Conried|Richard Rober|Janet Leigh|Ivan Triesault|John Wayne
John Q,http://ia.media-imdb.com/images/M/MV5BMTcxNTQ1MzAyOF5BMl5BanBnXkFtZTYwNDg0ODk4._V1._SX94_SY140_.jpg,116 min,"A down-on-his luck father, whose insurance won't cover his son's heart transplant, takes the hospital's emergency room hostage until the doctors agree to perform the operation.",Nick Cassavetes,James Kearns,http://www.imdb.com/title/tt0251160/,02/15/2002,PG-13,"Rated PG-13 for violence, language and intense thematic elements.",A Very Human and Affecting Drama...,Give a father no options and you leave him no choice.,Emergency|Room|Hospital|Hostage|Baseball|Heart|Transplant,Crime|Drama|Thriller,Larissa Laskin|James Woods|Kevin Connolly|Kimberly Elise|Daniel E. Smith|Gabriela Oltean|Laura Harring|Stephanie Moore|Vanessa Branch|James Finnerty|Ron Annabelle|Anne Heche|Barry G. King|David Thornton|Denzel Washington
Journey to the Center of the Earth,http://ia.media-imdb.com/images/M/MV5BMTczNzEyMDA1M15BMl5BanBnXkFtZTcwODQ0MDY5MQ@@._V1._SX100_SY127_.jpg,93 min,"On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth.",Eric Brevig,"Michael D. Weiss, Jennifer Flackett",http://www.imdb.com/title/tt0373051/,07/11/2008,PG-13,Rated PG for intense adventure action and some scary moments.; Rated PG-13 for some bloody sci-fi violence. (special edition),"Silly, but surprisingly enjoyable anyway",Same Planet. Different World.,Missing|Brother|Mountain|Center|Lost|World|Earth,Action|Adventure|Family|Sci-Fi|Thriller,Kaniehtiio Horn|Seth Meyers|Jane Wheeler|Josh Hutcherson|Giancarlo Caltabiano|Jean Michel Par&#xE9;|Garth Gilker|Frank Fontaine|Brendan Fraser|Anita Briem
Jumper,http://ia.media-imdb.com/images/M/MV5BMjEwOTkyOTI3M15BMl5BanBnXkFtZTcwNTQxMjU1MQ@@._V1._SX95_SY140_.jpg,88 min,"A genetic anomaly allows a young man to teleport himself anywhere. He discovers this gift has existed for centuries and finds himself in a war that has been raging for thousands of years between ""Jumpers"" and those who have sworn to kill them.",Doug Liman,"David S. Goyer, Jim Uhls",http://www.imdb.com/title/tt0489099/,02/14/2008,PG-13,"Rated PG-13 for sequences of intense action violence, some language and brief sexuality.",Not All Movies Are Intended To Be Groundbreaking,anywhere is possible.,New|York|Ann|Arbor|Jumper|Ice|Bank|Vault,Action|Adventure|Sci-Fi|Thriller,Barbara Garrick|Teddy Dunn|Tom Hulce|Samuel L. Jackson|Massimiliano Pazzaglia|Jesse James|Diane Lane|Michael Winther|Kristen Stewart|AnnaSophia Robb|Hayden Christensen|Michael Rooker|Rachel Bilson|Max Thieriot|Jamie Bell
Juno,http://ia.media-imdb.com/images/M/MV5BMTgxMjgyMTcyNF5BMl5BanBnXkFtZTcwMDg1MTU1MQ@@._V1._SX90_SY140_.jpg,96 min,"Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding her unborn child.",Jason Reitman,Diablo Cody,http://www.imdb.com/title/tt0467406/,12/25/2007,PG-13,"Rated PG-13 for mature thematic material, sexual content and language.",from the art house to the megaplex,A comedy about growing up... and the bumps along the way.,Abortion|Adoption|Pregnancy|Best|Friend|Minnesota,Comedy|Drama,Aman Johal|Eileen Pedde|Allison Janney|Michael Cera|Valerie Tian|Kaaren de Zilva|Emily Perkins|Daniel Clark|Jason Bateman|Ellen Page|J.K. Simmons|Darla Vandenbossche|Rainn Wilson|Olivia Thirlby|Jennifer Garner
Just Like Heaven,http://ia.media-imdb.com/images/M/MV5BMTk0Njk2OTY2N15BMl5BanBnXkFtZTcwNTAxNjAzMQ@@._V1._SX94_SY140_.jpg,95 min,A lonely landscape architect (Ruffalo) falls for the spirit of beautiful woman (Witherspoon) who used to live in his new apartment.,Mark Waters,"Peter Tolan, Leslie Dixon",http://www.imdb.com/title/tt0425123/,09/16/2005,PG-13,Rated PG-13 for some sexual content.,This couple does romantic really well,It's a wonderful afterlife.,Apartment|Coma|Doctor|San|Francisco|Car|Accident,Comedy|Fantasy|Romance,Ron Canada|Gabrielle Made|Caroline Aaron|Rosalind Chao|William Caploe|Donal Logue|Billy Beck|Ben Shenkman|Reese Witherspoon|Willie Garson|Jon Heder|Mark Ruffalo|Shulie Cowen|Ivana Milicevic|Dina Waters
Just Married,http://ia.media-imdb.com/images/M/MV5BMTQzODI5NzY0M15BMl5BanBnXkFtZTYwNjM3MTg5._V1._SX96_SY140_.jpg,95 min,"A young newlywed couple honeymoon in Europe, where obstacles challenge their ability to sustain the marriage.",Shawn Levy,Sam Harper,http://www.imdb.com/title/tt0305711/,01/10/2003,PG-13,"Rated PG-13 for sexual content, some crude humor and a brief drug reference.","Recycled and not very funny, but entertaining enough if you're in the right mood",Welcome to the honeymoon from hell.,Marriage|Honeymoon|Newlywed|Ex|Boyfriend|Male|Rape,Comedy|Romance,David Agranov|Valeria Andrews|Monet Mazur|Taran Killam|Massimo Schina|Ashton Kutcher|George Gaynes|Brittany Murphy|Alex Thomas|Raymond J. Barry|Thad Luckinbill|David Rasche|David Moscow|Toshi Toda|Christian Kane
Kabluey,http://ia.media-imdb.com/images/M/MV5BMTMwMzMwOTA3NF5BMl5BanBnXkFtZTcwNDE2NjU3MQ@@._V1._SX95_SY140_.jpg,USA:86 min,Inept Salman comes to help his sister-in-law tend to his holy terror nephews while Salman's brother is off fighting in Iraq...,Scott Prendergast,Scott Prendergast,http://www.imdb.com/find?s=all&q=kabluey,01/01/-4712,PG-13,"Rated PG-13 for some sexual material including a crude reference, and brief strong language.",Hilarious and creative film people are sure to enjoy,Every family has a black sheep. This one is blue.,Cheating|Wife,Comedy,Nick Ashy-Holden|Lisa Kudrow|Scott Prendergast|Jeffrey Dean Morgan|Christine Taylor|Cameron Wofford|Chris Parnell|Conchata Ferrell|Bill Toney|Raquel Gavia|Patricia Buckley|Angela Sarafyan|Teri Garr|Matt Hensarling|Landon Henninger
Keeping the Faith,http://ia.media-imdb.com/images/M/MV5BMTQ4MTgwOTU4M15BMl5BanBnXkFtZTcwOTUxMjEzMQ@@._V1._SX93_SY140_.jpg,128 min,"A story about two friends, a priest and a rabbi, who fall in love with the same beauty (Jenna Elfman).",Edward Norton,Stuart Blumberg,http://www.imdb.com/find?s=all&q=keeping+the+faith,04/14/2000,PG-13,Rated PG-13 for some sexuality and language.,Unlikely yet entertaining 'menage-a-tois'screwball comedy,"If you have to believe in something, you might as well believe in love.",Rabbi|Priest|Religion|Celibacy|Childhood|Friend,Comedy|Drama|Romance,Ken Leung|Milos Forman|Edward Norton|Stuart Blumberg|Catherine Lloyd Burns|Ben Stiller|Lisa Edelstein|Brian George|Susie Essman|Eli Wallach|Rena Sofer|Ron Rifkin|Anne Bancroft|Holland Taylor|Jenna Elfman
Kenny,http://ia.media-imdb.com/images/M/MV5BMTc5MDg2ODk1NV5BMl5BanBnXkFtZTcwMjU1MTc3MQ@@._V1._SX99_SY140_.jpg,Australia:99 min  | Australia:100 min,"From the biggest festival to the smallest church social, Kenny Smyth delivers porta-loos to them all...",Clayton Jacobson,"Clayton Jacobson, Shane Jacobson",http://www.imdb.com/title/tt0822389/,07/11/2008,PG-13,"Rated PG-13 for crude content, language and partial nudity.",Brilliant warm and funny comedy / drama,A knight in shining overalls,Kenny|Toilet|What|Happened|To|Epilogue|Scene|During|End|Credits|Title|Spoken|By|Character,Comedy,Craig Carter|Glenn Preusker|Hayley Preusker|Pete Smith|Kevin 'Matey' Lee Ogston|Thomas Uerata|Travis Golland|Kevin 'The Captain' Roy Ogston|Chris Davis|Adrian Atkinson|Kevin Roy|Alf Scerri|Mark Robertson|Shane Jacobson|Saxon Fuller
Key Largo,http://ia.media-imdb.com/images/M/MV5BMTI1OTExMTcwNF5BMl5BanBnXkFtZTcwNDE5NzQzMQ@@._V1._SX100_SY112_.jpg,100 min,"A man visits his old friend's hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other.",John Huston,"Maxwell Anderson, Richard Brooks",http://www.imdb.com/title/tt0040506/,07/31/1948,Approved,"",shock value,A storm of fear and fury in the sizzling Florida Keys !,Hotel|Hurricane|Gangster|Wheelchair|Moll,Crime|Drama|Film-Noir|Thriller,Lionel Barrymore|William Haade|Marc Lawrence|Lauren Bacall|Dan Seymour|John Rodney|Claire Trevor|Humphrey Bogart|Monte Blue|Harry Lewis|Thomas Gomez|Edward G. Robinson
Kicking & Screaming,http://ia.media-imdb.com/images/M/MV5BMTA5Njk1MjEzMzZeQTJeQWpwZ15BbWU3MDY3NjY4MjE@._V1._SX94_SY140_.jpg,95 min,"Family man Phil Weston, a lifelong victim of his father's competitive nature, takes on the coaching duties of a kids' soccer team, and soon finds that he's also taking on his father's dysfunctional way of relating... |",Jesse Dylan,"Leo Benvenuti, Steve Rudnick",http://www.imdb.com/title/tt0384642/,05/13/2005,PG,"Rated PG for thematic elements, language and some crude humor.","A formulaic clich?, true. But also a colourful, honest, and straightforward entertainment. I liked it.",One man could lead this team to glory. . . That man was busy,Stepmother|Destiny|Cigar|Smoking|Italian|American|Family|Relationships,Comedy|Family|Sport,Alessandro Ruggiero|Josh Hutcherson|Dylan McLaughlin|Dallas McKinney|Sammy Fine|Will Ferrell|Robert Duvall|Musetta Vander|Mike Ditka|Francesco Liotti|Kate Walsh|Erik Walker|Steven Anthony Lawrence|Elliott Cho|Jeremy Bergman
King of California,http://ia.media-imdb.com/images/M/MV5BMzQxMzIzMjY3N15BMl5BanBnXkFtZTcwMDMzMjM1MQ@@._V1._SX95_SY140_.jpg,93 min  | Canada:96 min (Toronto International Film Festival),An unstable dad who after getting out of a mental institution tries to convince his daughter that there's Spanish gold buried somewhere under suburbia.,Mike Cahill,Mike Cahill,http://www.imdb.com/title/tt0388182/,09/12/2007,PG-13,"Rated PG-13 for some strong language, mature thematic elements and brief drug references.",Wacky but sweet comedy with a delightful Michael Douglas.,We're All Searching for Something ...,Daughter|Father|Quest|Southern|California|Unconscious,Comedy,Paul Lieber|Jeanie Hackett|Greg Davis Jr.|Anne L. Nathan|Kathleen Wilhoite|Willis Burks II|Ian Hopps|Ashley Greene|Laura Kachergus|Anna Khaja|Evan Rachel Wood|Annie O'Donnell|Will Rothhaar|Arthur Santiago|Michael Douglas
Kingdom of Heaven,http://ia.media-imdb.com/images/M/MV5BMjA0Mjk3NTY2NF5BMl5BanBnXkFtZTcwNjU1OTAzMQ@@._V1._SX99_SY140_.jpg,144 min  | 190 min (director's cut) (Blu-Ray Disc) | 192 min (director's cut),"Balian of Ibelin travels to Jerusalem during the crusades of the 12th century, and there he finds himself as the defender of the city and its people.",Ridley Scott,William Monahan,http://www.imdb.com/title/tt0320661/,05/06/2005,R,Rated R for strong violence and epic warfare.,"excellent, fair to islam, sweeping, narrative could have used tightening...","Be without fear in the face of your enemies. Safeguard the helpless, and do no wrong",Jerusalem|Knight|King|Sword|Blacksmith,Action|Adventure|History,Marton Csokas|Steven Robertson|Nikolaj Coster-Waldau|Philip Glenister|Michael Sheen|Bronson Webb|David Thewlis|Eriq Ebouaney|Martin Hancock|Jouko Ahola|Liam Neeson|Orlando Bloom|Nathalie Cox|Alexander Siddig|Kevin McKidd
